user_type,pair,hash,height,time,order_id,status,direction,bidder_addr,offer_amount,ask_amount,leverage,margin_amount,entry_price,take_profit,stop_loss,pnl,fee,funding_payment,,
USER,ORAI_USDC,0CD9D30B6D0607BBFC1799D514CCC5BBA6EBAF5F448FB853DAC6E6E735114E06,14560328,2023-11-26 08:10:15,75,SL,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,307.162219,77.82755,3,100.044101,3.851748,3.838972,3.916526,-7.390072,0.120052,0.191844,,
BOT,ORAI_USDC,CE1B5EE0F94533B60E87BA07D29927F671D0418D1BD9C55CC9D05C4B21397003,14561402,2023-11-26 09:52:41,76,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,16196.95724,4117.717969,3,5359.787176,3.90492,3.839787,5.076329,-117.595707,6.43947,1.000605,,
USER,ORAI_USDC,5DD85D755170D44F9F62E7D4A83B1ABBF6F8C99F730055DA66470ACB8BDAE654,14560343,2023-11-26 08:11:40,77,TP,BUY,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,279.968498,71.524176,3,92.222081,3.863508,3.902144,3.824874,3.634253,0.110666,0,,
USER,ORAI_USDC,71526116416028CF8252E541E41710646B98EB834C03DFE81E999143AF492069,14560884,2023-11-26 09:03:15,78,Close,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,285.010543,73.236265,3,95.52024,3.912825,3.873696,3.951952,1.550177,0.114762,0.017796,,
BOT,ORAI_USDC,F7BF27A043D682C6AEC3C18F6B6A5CBA1FA1CCAAD395F482343379789B3B7F5E,14562254,2023-11-26 11:14:02,79,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4021.615153,1029.717576,3,1339.139141,3.901475,3.836437,5.0719,-4.19773,1.608896,-0.921597,,
USER,ORAI_USDC,B859E0B912248587E052804C082D81CE97D3D2123C3F580331AA0A059F34F982,14561403,2023-11-26 09:52:46,80,SL,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,296.860273,74.638016,3,96.937859,3.891644,3.852727,3.930559,-6.395668,0.116324,0,,
BOT,ORAI_USDC,F7BF27A043D682C6AEC3C18F6B6A5CBA1FA1CCAAD395F482343379789B3B7F5E,14562254,2023-11-26 11:14:02,81,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,8495.607445,2157.02337,3,2843.987317,3.955433,3.889481,5.142026,36.354506,3.416884,-2.454692,,
USER,ORAI_USDC,7687460ED1B2785C9F77487934160D223E89284D0345D9B778F77FF36B281425,14562935,2023-11-26 12:18:58,82,SL,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,273.813116,68.818077,3,90.309543,3.932157,3.892834,3.971478,-3.209597,0.10837,-0.112861,,
USER,ORAI_USDC,A0B3A34B17CAC01E8677D9C8F0BF4D976F2C5E61F63E3D17A1DE573073D7F294,14561796,2023-11-26 10:30:17,83,Close,SELL,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,2.996402,0.762165,3,0.9988,3.931432,3.800384,0,-0.000002,0.0012,0,,
BOT,ORAI_USDC,3E8412102F89803D2EF47828F75EBF73C5B6D9FB7332630FA8E53FDC15ED065E,14562724,2023-11-26 11:58:51,84,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,6966.300661,1766.894684,3,2304.715693,3.913163,3.847921,5.087083,-52.153582,2.76898,0,,
USER,ORAI_USDC,F7D3466A9B6604A515EB7904DC8072FFB4C2464F69574EB1C9DE085076EBF883,14562207,2023-11-26 11:09:32,85,Close,SELL,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,299.880003,77.007228,1,299.88,3.894179,3.537584,0,-0.000003,0.12,0,,
BOT,ORAI_USDC,E3C15E23C7F584DD764DEEDB9AA67053E5EA6AA890D739997766F65FBEF3B026,14562933,2023-11-26 12:18:46,86,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,6987.93764,1764.860293,3,2319.414046,3.942658,3.876925,5.125426,-29.695502,2.78664,-0.885959,,
USER,ORAI_USDC,76602D012D88AAEDB90257961615799467CAFE062C13921A5E5936C8862EF9E6,14562729,2023-11-26 11:59:20,87,Close,BUY,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,449.459998,113.432418,3,149.82,3.962359,4.056314,0,-0.000002,0.18,0,,
BOT,ORAI_USDC,3C4521968BCD15A0469B8351FBA42A6CB62F8312C612B6782A2023F2D9A4454E,14563172,2023-11-26 12:41:38,88,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4702.436075,1191.713942,3,1568.565324,3.948679,3.882852,5.133263,3.259897,1.884538,0,,
USER,ORAI_USDC,CBF629A9072D164BEE0598F71897226099F0BB2A75DB636883017638393D52A1,14562784,2023-11-26 12:04:33,89,Close,SELL,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,449.460002,114.219872,3,149.82,3.935042,3.869456,5.115552,-0.000002,0.18,0,,
USER,ORAI_USDC,3873D83F7E678A50C7C9ED81D1AF45533CC54E4CC64F28E9A8F5C971472061D2,14562939,2023-11-26 12:19:21,90,Close,BUY,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,454.1284,114.15089,3,149.82,3.93742,4.003044,2.756194,4.6684,0.18,0,,
USER,ORAI_USDC,2ABC8EBBACCC036ECA11E1BCB428F33B8DE1A6FA7E6573D0D73793F000EA1FF0,14562943,2023-11-26 12:19:43,91,Close,BUY,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,453.420804,114.081971,3,149.82,3.939798,4.005463,2.75786,3.960804,0.18,0,,
USER,ORAI_USDC,D8D7B78FB0F1BF4EF0464BDE7A11B5134BA825294644D3D093F12868C605BC50,14563043,2023-11-26 12:29:16,92,TP,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,257.81751,65.555268,3,86.996067,3.976416,3.936651,4.016179,2.857509,0.104394,0,,
BOT,ORAI_USDC,26E7CCDD972994ABBA45EF3F2A5C9180C22F99E469CCFF99D000F8E1D70977C1,14564754,2023-11-26 15:12:43,93,TP,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,7612.088952,1964.479275,3,2591.425885,3.952675,3.886772,5.138445,152.859573,3.10971,-0.774004,,
USER,ORAI_USDC,58594A963A42A51E1BFB85A136C2705EAED306CFAD5904DDFDB198E995229FB5,14564016,2023-11-26 14:02:15,94,SL,BUY,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,262.910142,67.846117,3,89.644788,3.95913,3.973561,3.894877,-5.701506,0.107572,0.078023,,
BOT,ORAI_USDC,96DC643897BA6966A46D2C30C004B11FA8EE994FC38F7FFBFD07B6864761705D,14564018,2023-11-26 14:02:26,95,TP,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,3808.238038,981.188415,3,1293.306584,3.949561,3.883723,5.134413,67.025816,1.551966,-1.128366,,
